aluno [ ~/environment/config/azure-cluster ]$ az vm list-skus --location southcentralus --size Standard_D --all --output table
ResourceType     Locations       Name                    Zones    Restrictions
virtualMachines  southcentralus  Standard_D2ds_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2ds_v6        1,2,3    None
virtualMachines  southcentralus  Standard_D2d_v4         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2d_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2lds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2lds_v6       1,2,3    None
virtualMachines  southcentralus  Standard_D2ls_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2ls_v6        1,2,3    None
virtualMachines  southcentralus  Standard_D2pds_v5       1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D2pds_v6       1,2      None
virtualMachines  southcentralus  Standard_D2plds_v5      1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D2plds_v6      1,2      None
virtualMachines  southcentralus  Standard_D2pls_v5       1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D2pls_v6       1,2      None
virtualMachines  southcentralus  Standard_D2ps_v5        1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D2ps_v6        1,2      None
virtualMachines  southcentralus  Standard_D2s_v3         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2s_v4         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2s_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2s_v6         1,2,3    None
virtualMachines  southcentralus  Standard_D2_v2          1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2_v2_Promo    1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D2_v3          1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2_v4          1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2_v5          1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D3             2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D32ads_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D32ads_v6      1,2      None
virtualMachines  southcentralus  Standard_D32alds_v6     1,2      None
virtualMachines  southcentralus  Standard_D32als_v6      1,2      None
virtualMachines  southcentralus  Standard_D32as_v4       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
